gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
97	910479948	837acfc2-f762-11e1-a439-00145eb45e9a	HSS:HSS:36156	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	badia	SUBSPECIES	Juniperus oxycedrus subsp. badia (H.Gay) Debeaux	Juniperus oxycedrus L. subsp. badia (H.Gay) Debeaux	(H.Gay) Debeaux	ES	Embalse de García Sola, mirador de Puerto Peña	Badajoz	PRESENT	NA	bafca313-f02c-4ce7-9cba-760770a0e4b9	39.14	-5.18	550	NA	600	NA	NA	NA	2008-02-27T00:00:00	27	2	2008	2684469	2684451	PRESERVED_SPECIMEN	CICYTEX	HSS	36156		F.M. Vázquez		CC_BY_NC_4_0	Centro de Investigaciones Científicas y Tecnológicas de Extremadura	J. Blanco;D. García;M. Gutiérrez	NA	NA	2023-09-07T07:14:31.224Z		INSTITUTION_MATCH_NONE
107	910479947	837acfc2-f762-11e1-a439-00145eb45e9a	HSS:HSS:36121	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	badia	SUBSPECIES	Juniperus oxycedrus subsp. badia (H.Gay) Debeaux	Juniperus oxycedrus L. subsp. badia (H.Gay) Debeaux	(H.Gay) Debeaux	ES	Puerto de los Carneros, subida al repetidor hacia cerro Castillejo	Badajoz	PRESENT	NA	bafca313-f02c-4ce7-9cba-760770a0e4b9	39.08	-5.03	550	NA	NA	NA	NA	NA	2008-02-27T00:00:00	27	2	2008	2684469	2684451	PRESERVED_SPECIMEN	CICYTEX	HSS	36121		F.M. Vázquez		CC_BY_NC_4_0	Centro de Investigaciones Científicas y Tecnológicas de Extremadura	J. Blanco;D. García;M. Gutiérrez	NA	NA	2023-09-07T07:14:31.220Z		INSTITUTION_MATCH_NONE
1110	910479881	837acfc2-f762-11e1-a439-00145eb45e9a	HSS:HSS:36126	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	badia	SUBSPECIES	Juniperus oxycedrus subsp. badia (H.Gay) Debeaux	Juniperus oxycedrus L. subsp. badia (H.Gay) Debeaux	(H.Gay) Debeaux	ES	Embalse de García Sola, ctra. a Valdecaballeros, a 1 km de la presa	Badajoz	PRESENT	NA	bafca313-f02c-4ce7-9cba-760770a0e4b9	39.14	-5.19	550	NA	NA	NA	NA	NA	2008-02-27T00:00:00	27	2	2008	2684469	2684451	PRESERVED_SPECIMEN	CICYTEX	HSS	36126		F.M. Vázquez		CC_BY_NC_4_0	Centro de Investigaciones Científicas y Tecnológicas de Extremadura	J. Blanco;D. García;M. Gutiérrez	NA	NA	2023-09-07T07:14:31.217Z		INSTITUTION_MATCH_NONE
1210	910479822	837acfc2-f762-11e1-a439-00145eb45e9a	HSS:HSS:36030	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	badia	SUBSPECIES	Juniperus oxycedrus subsp. badia (H.Gay) Debeaux	Juniperus oxycedrus L. subsp. badia (H.Gay) Debeaux	(H.Gay) Debeaux	ES	El Cerezal, proximidades del Tejedal	Cáceres	PRESENT	NA	bafca313-f02c-4ce7-9cba-760770a0e4b9	40.38	-6.26	550	NA	NA	NA	NA	NA	2007-11-15T00:00:00	15	11	2007	2684469	2684451	PRESERVED_SPECIMEN	CICYTEX	HSS	36030		F.M. Vázquez		CC_BY_NC_4_0	Centro de Investigaciones Científicas y Tecnológicas de Extremadura	J. Blanco;D. García;M. Gutiérrez	NA	NA	2023-09-07T07:14:31.173Z		INSTITUTION_MATCH_NONE
1310	910476321	837acfc2-f762-11e1-a439-00145eb45e9a	HSS:HSS:32445	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	badia	SUBSPECIES	Juniperus oxycedrus subsp. badia (H.Gay) Debeaux	Juniperus oxycedrus L. subsp. badia (H.Gay) Debeaux	(H.Gay) Debeaux	ES	Sierra del Torozo. Cercanías de Las Poyatas	Badajoz	PRESENT	NA	bafca313-f02c-4ce7-9cba-760770a0e4b9	38.77	-5.16	550	NA	NA	NA	NA	NA	2007-04-29T00:00:00	29	4	2007	2684469	2684451	PRESERVED_SPECIMEN	CICYTEX	HSS	32445		F.M. Vázquez		CC_BY_NC_4_0	Centro de Investigaciones Científicas y Tecnológicas de Extremadura	J. Blanco;P. Escobar;J.M. Pavo	NA	NA	2023-09-07T07:15:00.513Z		INSTITUTION_MATCH_NONE
1410	910475915	837acfc2-f762-11e1-a439-00145eb45e9a	HSS:HSS:32020	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	badia	SUBSPECIES	Juniperus oxycedrus subsp. badia (H.Gay) Debeaux	Juniperus oxycedrus L. subsp. badia (H.Gay) Debeaux	(H.Gay) Debeaux	ES	Sierra de Cabeza del Buey, cara sur	Badajoz	PRESENT	NA	bafca313-f02c-4ce7-9cba-760770a0e4b9	38.7	-5.21	550	NA	660	NA	NA	NA	2007-04-24T00:00:00	24	4	2007	2684469	2684451	PRESERVED_SPECIMEN	CICYTEX	HSS	32020		F.M. Vázquez		CC_BY_NC_4_0	Centro de Investigaciones Científicas y Tecnológicas de Extremadura	J. Blanco;D. García;F.M. Vázquez	NA	NA	2023-09-07T07:14:30.917Z		INSTITUTION_MATCH_NONE
15	910475908	837acfc2-f762-11e1-a439-00145eb45e9a	HSS:HSS:32043	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	badia	SUBSPECIES	Juniperus oxycedrus subsp. badia (H.Gay) Debeaux	Juniperus oxycedrus L. subsp. badia (H.Gay) Debeaux	(H.Gay) Debeaux	ES	Ctra. Castuera - Benquerencia	Badajoz	PRESENT	NA	bafca313-f02c-4ce7-9cba-760770a0e4b9	38.71	-5.51	550	NA	NA	NA	NA	NA	2007-04-24T00:00:00	24	4	2007	2684469	2684451	PRESERVED_SPECIMEN	CICYTEX	HSS	32043		F.M. Vázquez		CC_BY_NC_4_0	Centro de Investigaciones Científicas y Tecnológicas de Extremadura	J. Blanco;D. García;F.M. Vázquez	NA	NA	2023-09-07T07:14:30.927Z		INSTITUTION_MATCH_NONE
1610	910473900	837acfc2-f762-11e1-a439-00145eb45e9a	HSS:HSS:29907	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	badia	SUBSPECIES	Juniperus oxycedrus subsp. badia (H.Gay) Debeaux	Juniperus oxycedrus L. subsp. badia (H.Gay) Debeaux	(H.Gay) Debeaux	ES	Collado de los Pableras	Cáceres	PRESENT	NA	bafca313-f02c-4ce7-9cba-760770a0e4b9	39.65	-5.65	550	NA	NA	NA	NA	NA	2007-03-18T00:00:00	18	3	2007	2684469	2684451	PRESERVED_SPECIMEN	CICYTEX	HSS	29907		F.M. Vázquez		CC_BY_NC_4_0	Centro de Investigaciones Científicas y Tecnológicas de Extremadura	M. Gutiérrez;R. Valadés	NA	NA	2023-09-07T07:14:29.645Z		INSTITUTION_MATCH_NONE
1710	910473829	837acfc2-f762-11e1-a439-00145eb45e9a	HSS:HSS:29695	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	badia	SUBSPECIES	Juniperus oxycedrus subsp. badia (H.Gay) Debeaux	Juniperus oxycedrus L. subsp. badia (H.Gay) Debeaux	(H.Gay) Debeaux	ES	Sierra Utrera	Badajoz	PRESENT	NA	bafca313-f02c-4ce7-9cba-760770a0e4b9	38.76	-6.13	550	NA	NA	NA	NA	NA	2007-03-09T00:00:00	9	3	2007	2684469	2684451	PRESERVED_SPECIMEN	CICYTEX	HSS	29695		F.M. Vázquez		CC_BY_NC_4_0	Centro de Investigaciones Científicas y Tecnológicas de Extremadura	J. Blanco;D. García;M. Gutiérrez	NA	NA	2023-09-07T07:14:29.652Z		INSTITUTION_MATCH_NONE
1910	910473635	837acfc2-f762-11e1-a439-00145eb45e9a	HSS:HSS:29833	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	badia	SUBSPECIES	Juniperus oxycedrus subsp. badia (H.Gay) Debeaux	Juniperus oxycedrus L. subsp. badia (H.Gay) Debeaux	(H.Gay) Debeaux	ES	Puerto de la Nava	Badajoz	PRESENT	NA	bafca313-f02c-4ce7-9cba-760770a0e4b9	38.69	-5.24	550	NA	NA	NA	NA	NA	2007-03-11T00:00:00	11	3	2007	2684469	2684451	PRESERVED_SPECIMEN	CICYTEX	HSS	29833		F.M. Vázquez		CC_BY_NC_4_0	Centro de Investigaciones Científicas y Tecnológicas de Extremadura	J. Blanco;M. Gutiérrez;J.M. Pavo;R. Valadés	NA	NA	2023-09-07T07:14:29.647Z		INSTITUTION_MATCH_NONE
2010	910472857	837acfc2-f762-11e1-a439-00145eb45e9a	HSS:HSS:28444	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	badia	SUBSPECIES	Juniperus oxycedrus subsp. badia (H.Gay) Debeaux	Juniperus oxycedrus L. subsp. badia (H.Gay) Debeaux	(H.Gay) Debeaux	ES	Paseo Huerto del Rincón	Cáceres	PRESENT	NA	bafca313-f02c-4ce7-9cba-760770a0e4b9	39.73	-5.69	550	NA	NA	NA	NA	NA	2006-10-11T00:00:00	11	10	2006	2684469	2684451	PRESERVED_SPECIMEN	CICYTEX	HSS	28444		F.M. Vázquez		CC_BY_NC_4_0	Centro de Investigaciones Científicas y Tecnológicas de Extremadura	M. Fernández;D. García	NA	NA	2023-09-07T07:15:00.616Z		INSTITUTION_MATCH_NONE
22	910472786	837acfc2-f762-11e1-a439-00145eb45e9a	HSS:HSS:28380	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	badia	SUBSPECIES	Juniperus oxycedrus subsp. badia (H.Gay) Debeaux	Juniperus oxycedrus L. subsp. badia (H.Gay) Debeaux	(H.Gay) Debeaux	ES	Garganta de Alardos, margen izquierdo, frente a Madrigal de la Vera	Cáceres	PRESENT	NA	bafca313-f02c-4ce7-9cba-760770a0e4b9	40.14	-5.35	550	NA	NA	NA	NA	NA	2006-10-12T00:00:00	12	10	2006	2684469	2684451	PRESERVED_SPECIMEN	CICYTEX	HSS	28380		F.M. Vázquez		CC_BY_NC_4_0	Centro de Investigaciones Científicas y Tecnológicas de Extremadura	M. Fernández;D. García	NA	NA	2023-09-07T07:15:00.618Z		INSTITUTION_MATCH_NONE
2310	910470651	837acfc2-f762-11e1-a439-00145eb45e9a	HSS:HSS:26067	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	badia	SUBSPECIES	Juniperus oxycedrus subsp. badia (H.Gay) Debeaux	Juniperus oxycedrus L. subsp. badia (H.Gay) Debeaux	(H.Gay) Debeaux	ES	Sierra de Palo. Subida a la garita	Badajoz	PRESENT	NA	bafca313-f02c-4ce7-9cba-760770a0e4b9	38.93	-5.04	550	NA	NA	NA	NA	NA	2001-10-04T00:00:00	4	10	2001	2684469	2684451	PRESERVED_SPECIMEN	CICYTEX	HSS	26067		F.M. Vázquez		CC_BY_NC_4_0	Centro de Investigaciones Científicas y Tecnológicas de Extremadura	J. Blanco;D. Martín;J. Pozo	NA	NA	2023-09-07T07:14:30.029Z		INSTITUTION_MATCH_NONE
2410	910470500	837acfc2-f762-11e1-a439-00145eb45e9a	HSS:HSS:25848	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	badia	SUBSPECIES	Juniperus oxycedrus subsp. badia (H.Gay) Debeaux	Juniperus oxycedrus L. subsp. badia (H.Gay) Debeaux	(H.Gay) Debeaux	ES	Subida a fuente de La Malena	Cáceres	PRESENT	NA	bafca313-f02c-4ce7-9cba-760770a0e4b9	40.33	-6.52	550	NA	NA	NA	NA	NA	2006-06-22T00:00:00	22	6	2006	2684469	2684451	PRESERVED_SPECIMEN	CICYTEX	HSS	25848		F.M. Vázquez		CC_BY_NC_4_0	Centro de Investigaciones Científicas y Tecnológicas de Extremadura	D. García;S. Ramos;F.M. Vázquez	NA	NA	2023-09-07T07:14:29.660Z		INSTITUTION_MATCH_NONE
265	910469117	837acfc2-f762-11e1-a439-00145eb45e9a	HSS:HSS:24482	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	badia	SUBSPECIES	Juniperus oxycedrus subsp. badia (H.Gay) Debeaux	Juniperus oxycedrus L. subsp. badia (H.Gay) Debeaux	(H.Gay) Debeaux	ES	El Cerezal	Cáceres	PRESENT	NA	bafca313-f02c-4ce7-9cba-760770a0e4b9	40.39	-6.26	550	NA	NA	NA	NA	NA	2006-05-29T00:00:00	29	5	2006	2684469	2684451	PRESERVED_SPECIMEN	CICYTEX	HSS	24482		F.M. Vázquez		CC_BY_NC_4_0	Centro de Investigaciones Científicas y Tecnológicas de Extremadura	D. García;M. Gutiérrez;P. Matos	NA	NA	2023-09-07T07:14:29.558Z		INSTITUTION_MATCH_NONE
272	910463435	837acfc2-f762-11e1-a439-00145eb45e9a	HSS:HSS:18029	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	badia	SUBSPECIES	Juniperus oxycedrus subsp. badia (H.Gay) Debeaux	Juniperus oxycedrus L. subsp. badia (H.Gay) Debeaux	(H.Gay) Debeaux	ES	Villareal de San Carlos, Salto del Gitano	Cáceres	PRESENT	NA	bafca313-f02c-4ce7-9cba-760770a0e4b9	39.82	-6.05	550	NA	NA	NA	NA	NA	2006-03-16T00:00:00	16	3	2006	2684469	2684451	PRESERVED_SPECIMEN	CICYTEX	HSS	18029		F.M. Vázquez		CC_BY_NC_4_0	Centro de Investigaciones Científicas y Tecnológicas de Extremadura	S. Aguilar;J. Blanco;M. Gutiérrez;F.M. Vázquez	NA	NA	2023-09-07T07:15:00.595Z		INSTITUTION_MATCH_NONE
301	910462576	837acfc2-f762-11e1-a439-00145eb45e9a	HSS:HSS:17130	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	badia	SUBSPECIES	Juniperus oxycedrus subsp. badia (H.Gay) Debeaux	Juniperus oxycedrus L. subsp. badia (H.Gay) Debeaux	(H.Gay) Debeaux	ES		Cáceres	PRESENT	NA	bafca313-f02c-4ce7-9cba-760770a0e4b9	40.4	-6.24	550	NA	NA	NA	NA	NA	2005-04-09T00:00:00	9	4	2005	2684469	2684451	PRESERVED_SPECIMEN	CICYTEX	HSS	17130		F.M. Vázquez		CC_BY_NC_4_0	Centro de Investigaciones Científicas y Tecnológicas de Extremadura	C. Muriel	NA	NA	2023-09-07T07:14:31.685Z		INSTITUTION_MATCH_NONE
31	910462137	837acfc2-f762-11e1-a439-00145eb45e9a	HSS:HSS:50785	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	badia	SUBSPECIES	Juniperus oxycedrus subsp. badia (H.Gay) Debeaux	Juniperus oxycedrus L. subsp. badia (H.Gay) Debeaux	(H.Gay) Debeaux	ES	La Aliseda	Jaén	PRESENT	NA	bafca313-f02c-4ce7-9cba-760770a0e4b9	38.33	-3.57	550	NA	NA	NA	NA	NA	2011-05-29T00:00:00	29	5	2011	2684469	2684451	PRESERVED_SPECIMEN	CICYTEX	HSS	50785		F.M. Vázquez		CC_BY_NC_4_0	Centro de Investigaciones Científicas y Tecnológicas de Extremadura	M. Hervé;A. LeHardy;M. Timancheff;F.M. Vázquez	NA	NA	2023-09-07T07:14:29.716Z		INSTITUTION_MATCH_NONE
322	910462120	837acfc2-f762-11e1-a439-00145eb45e9a	HSS:HSS:50708	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	badia	SUBSPECIES	Juniperus oxycedrus subsp. badia (H.Gay) Debeaux	Juniperus oxycedrus L. subsp. badia (H.Gay) Debeaux	(H.Gay) Debeaux	ES	Sierra Mágina	Jaén	PRESENT	NA	bafca313-f02c-4ce7-9cba-760770a0e4b9	37.61	-3.84	550	NA	NA	NA	NA	NA	2011-05-31T00:00:00	31	5	2011	2684469	2684451	PRESERVED_SPECIMEN	CICYTEX	HSS	50708		F.M. Vázquez		CC_BY_NC_4_0	Centro de Investigaciones Científicas y Tecnológicas de Extremadura	M. Hervé;A. LeHardy;M. Timancheff;F.M. Vázquez	NA	NA	2023-09-07T07:14:29.714Z		INSTITUTION_MATCH_NONE
